country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,deforested_2000-2010_ha,percent_deforested_2000-2010,vulnerable_2000-2010,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,abg_biomass_stock_2000_Mg,avg_biomass_per_ha_Mg,abg_biomass_loss_Mg_2001,abg_biomass_loss_Mg_2002,abg_biomass_loss_Mg_2003,abg_biomass_loss_Mg_2004,abg_biomass_loss_Mg_2005,abg_biomass_loss_Mg_2006,abg_biomass_loss_Mg_2007,abg_biomass_loss_Mg_2008,abg_biomass_loss_Mg_2009,abg_biomass_loss_Mg_2010,abg_biomass_loss_Mg_2011,abg_biomass_loss_Mg_2012,abg_biomass_loss_Mg_2013,abg_biomass_loss_Mg_2014,abg_biomass_loss_Mg_2015,abg_biomass_loss_Mg_2016,abg_biomass_loss_Mg_2017,abg_biomass_loss_Mg_2018,abg_biomass_loss_Mg_2019,abg_biomass_loss_Mg_2020,abg_co2_stock_2000__Mg,whrc_aboveground_co2_emissions_Mg_2001,whrc_aboveground_co2_emissions_Mg_2002,whrc_aboveground_co2_emissions_Mg_2003,whrc_aboveground_co2_emissions_Mg_2004,whrc_aboveground_co2_emissions_Mg_2005,whrc_aboveground_co2_emissions_Mg_2006,whrc_aboveground_co2_emissions_Mg_2007,whrc_aboveground_co2_emissions_Mg_2008,whrc_aboveground_co2_emissions_Mg_2009,whrc_aboveground_co2_emissions_Mg_2010,whrc_aboveground_co2_emissions_Mg_2011,whrc_aboveground_co2_emissions_Mg_2012,whrc_aboveground_co2_emissions_Mg_2013,whrc_aboveground_co2_emissions_Mg_2014,whrc_aboveground_co2_emissions_Mg_2015,whrc_aboveground_co2_emissions_Mg_2016,whrc_aboveground_co2_emissions_Mg_2017,whrc_aboveground_co2_emissions_Mg_2018,whrc_aboveground_co2_emissions_Mg_2019,whrc_aboveground_co2_emissions_Mg_2020,location
Indonesia,Aceh,Aceh Barat Daya,10,189314,179293,175951,3342,1.76532110673273,1,2111,708,562,2961,475,361,639,220,729,7363,1745,2426,1651,1145,1432,930,1109,1120,1011,871,800,54444870,304,188395,145545,1035678,108547,78674,130623,46911,138806,1512013,351693,543839,381418,262134,291024,214193,235063,252288,213344,168392,176734,99815596,345391,266833,1898743,199003,144236,239475,86004,254477,2772023,644771,997039,699267,480579,533544,392687,430950,462529,391131,308719,324012,7
Indonesia,Aceh,Aceh Barat Daya,15,189314,178624,174556,4068,2.1488109701342744,1,2111,708,562,2961,474,361,639,220,729,7362,1745,2426,1651,1144,1431,929,1108,1117,1009,869,799,54383447,304,188395,145545,1035634,108525,78647,130613,46904,138806,1511982,351693,543831,381402,262087,290911,214060,234931,252014,213193,168252,176570,99702986,345391,266833,1898663,198962,144187,239458,85990,254477,2771967,644771,997023,699238,480494,533336,392442,430707,462026,390855,308462,323711,8
Indonesia,Aceh,Aceh Barat Daya,20,189314,178233,174119,4114,2.1731092259420857,1,2111,708,562,2960,474,361,639,220,729,7362,1745,2426,1651,1144,1429,929,1106,1114,1008,868,795,54346079,305,188395,145545,1035578,108525,78630,130605,46904,138806,1511933,351693,543831,381402,262055,290807,214021,234807,251659,213010,168098,176195,99634477,345391,266833,1898559,198962,144154,239442,85990,254477,2771877,644771,997023,699238,480434,533146,392371,430480,461375,390518,308179,323023,9
Indonesia,Aceh,Aceh Barat Daya,25,189314,177985,173119,4866,2.570332886104567,1,2111,708,562,2960,474,361,639,220,729,7362,1745,2425,1651,1144,1429,928,1105,1113,1007,867,794,54322925,305,188395,145545,1035578,108525,78630,130599,46904,138806,1511918,351693,543818,381402,262032,290774,213990,234722,251514,212939,168050,176102,99592029,345391,266833,1898559,198962,144154,239431,85990,254477,2771850,644771,997000,699238,480393,533085,392316,430324,461108,390389,308092,322854,10
Indonesia,Aceh,Aceh Barat Daya,30,189314,177520,172409,5111,2.6997475094287795,1,2111,708,562,2960,474,360,639,220,729,7362,1745,2425,1651,1144,1428,928,1103,1111,1005,866,792,54276676,306,188388,145545,1035569,108519,78619,130599,46892,138806,1511895,351685,543809,381402,262010,290635,213911,234465,251289,212758,167896,175915,99507240,345378,266833,1898543,198952,144135,239431,85969,254477,2771807,644757,996983,699238,480351,532831,392170,429853,460697,390056,307810,322512,11
Indonesia,Aceh,Aceh Barat Daya,50,189314,175238,167989,7249,3.8290881815396647,1,2111,708,562,2959,473,360,638,219,728,7355,1744,2421,1650,1139,1419,922,1088,1095,995,861,781,54042231,308,188293,145533,1035400,108379,78569,130531,46769,138774,1511268,351610,543360,381292,261587,289823,213261,232952,249599,211641,167295,174607,99077424,345204,266810,1898233,198696,144044,239307,85744,254418,2770658,644619,996161,699035,479575,531343,390979,427079,457599,388009,306707,320113,12
Indonesia,Aceh,Aceh Barat Daya,75,189314,170014,159698,10316,5.449147976377869,1,2111,699,558,2938,460,354,628,214,722,7282,1732,2398,1634,1120,1367,893,1028,1017,909,820,739,53389636,314,187416,145147,1031816,107116,77955,129602,46274,138096,1504014,350242,541072,379652,259088,283577,209508,225991,239874,201651,161936,168851,97881000,343596,266103,1891663,196380,142918,237603,84835,253176,2757359,642111,991965,696028,474994,519891,384098,414317,439769,369693,296883,309561,13
Indonesia,Aceh,Aceh Besar,10,290557,211754,209695,2059,0.7086389245483674,1,3247,577,263,65,1143,886,316,628,157,1689,529,2248,360,519,1830,553,1124,2280,930,984,1361,54596617,258,144848,68941,16257,258212,152920,75238,153064,39094,449707,137912,579896,90844,112867,445616,125137,224952,497710,194136,209642,288299,100093798,265554,126392,29805,473389,280353,137936,280617,71673,824462,252839,1063142,166547,206922,816962,229419,412411,912469,355915,384343,528548,14
Indonesia,Aceh,Aceh Besar,15,290557,207634,205279,2355,0.8105122230749905,1,3247,576,263,65,1142,885,315,627,157,1688,528,2246,360,510,1816,549,1096,2239,912,964,1328,54181388,261,144792,68932,16229,258025,152800,75167,152976,39088,449491,137815,579694,90773,112019,444060,124584,221974,493120,192308,207586,284773,99332545,265452,126376,29753,473045,280133,137805,280456,71661,824066,252662,1062773,166416,205368,814109,228404,406951,904053,352564,380575,522083,15
Indonesia,Aceh,Aceh Besar,20,290557,205208,204172,1036,0.35655654484318056,1,3247,576,262,64,1140,883,315,626,157,1686,528,2244,359,503,1801,544,1078,2209,902,952,1309,53927804,263,144742,68923,16222,257889,152598,75121,152849,39066,449318,137752,579467,90694,111228,442404,124103,220017,489894,191173,206393,282799,98867641,265361,126360,29740,472796,279764,137721,280223,71620,823749,252546,1062357,166272,203919,811074,227522,403365,898140,350484,378387,518465,16
Indonesia,Aceh,Aceh Besar,25,290557,203398,202410,988,0.3400365504875119,1,3247,576,262,64,1140,882,314,625,157,1686,528,2243,359,498,1795,543,1066,2195,894,944,1301,53739647,264,144700,68907,16222,257814,152518,75102,152690,39058,449233,137752,579341,90680,110775,441601,123921,218767,488382,190386,205536,281884,98522687,265284,126329,29740,472659,279616,137687,279931,71605,823593,252546,1062126,166247,203088,809602,227189,401072,895367,349041,376817,516788,17
Indonesia,Aceh,Aceh Besar,30,290557,200000,199885,115,0.03957915314378934,1,3247,575,262,64,1138,881,314,624,157,1684,527,2241,359,489,1781,537,1042,2149,873,924,1272,53359777,267,144646,68852,16222,257651,152444,75063,152589,39058,449061,137729,579098,90663,109754,439944,123230,216020,482996,188048,203309,278584,97826258,265185,126228,29740,472360,279481,137615,279747,71605,823278,252504,1061680,166216,201215,806563,225922,396037,885492,344754,372733,510737,18
Indonesia,Aceh,Aceh Besar,50,290557,190303,187956,2347,0.8077588906823789,1,3247,566,260,64,1123,858,309,613,156,1670,523,2220,355,463,1715,516,953,2017,815,864,1177,52121720,274,143392,68582,16189,255762,149673,74400,151127,38946,447051,137135,576173,90125,106461,431330,120513,204777,466051,180896,195777,266309,95556487,262885,125733,29680,468896,274401,136401,277066,71401,819594,251414,1056316,165230,195178,790773,220941,375424,854427,331642,358924,488233,19
Indonesia,Aceh,Aceh Besar,75,290557,170788,166687,4101,1.4114270177624355,1,3247,531,246,61,1027,733,277,565,148,1591,495,2099,327,373,1476,426,696,1610,657,696,927,48903695,286,137038,65978,15629,241860,133724,69692,143284,37724,433623,132077,555096,85432,91841,389719,105121,163683,398966,155976,168411,225529,89656774,251237,120960,28654,443410,245161,127768,262686,69161,794976,242141,1017676,156626,168375,714484,192721,300085,731438,285956,308754,413469,20
Indonesia,Aceh,Aceh Selatan,10,421660,406066,406020,46,0.01090926338756344,1,4063,1086,532,284,178,367,541,603,1369,2568,1480,2181,2669,3004,4351,2415,2678,2718,2728,1030,1395,121784672,300,264209,134262,71528,43762,88454,124618,133519,315989,590852,310875,476492,575392,650498,981213,605246,571167,616538,594724,226391,315821,223271899,484384,246147,131134,80230,162166,228467,244785,579312,1083229,569937,873569,1054885,1192580,1798891,1109618,1047139,1130319,1090327,415051,579005,28
Indonesia,Aceh,Aceh Selatan,15,421660,404831,404339,492,0.11668168666698288,1,4063,1085,532,284,178,367,540,603,1368,2567,1480,2177,2665,2997,4342,2412,2669,2707,2720,1024,1391,121669782,301,264168,134231,71511,43762,88380,124595,133512,315932,590797,310820,476136,575034,649835,980246,604956,570180,615396,593937,225797,315361,223061267,484308,246091,131103,80230,162030,228424,244772,579210,1083128,569836,872916,1054229,1191363,1797117,1109086,1045330,1128226,1088884,413962,578161,29
Indonesia,Aceh,Aceh Selatan,20,421660,404078,404006,72,0.017075368780534082,1,4063,1085,532,284,178,366,540,603,1368,2567,1479,2175,2661,2992,4336,2410,2658,2698,2711,1020,1388,121596594,301,264092,134225,71462,43753,88357,124571,133496,315893,590763,310759,475896,574535,649327,979640,604757,569090,614359,593059,225364,315002,222927088,484168,246078,131014,80214,161988,228381,244742,579137,1083066,569725,872475,1053314,1190433,1796007,1108721,1043332,1126324,1087275,413168,577504,30
Indonesia,Aceh,Aceh Selatan,25,421660,403470,403134,336,0.07968505430915904,1,4063,1084,531,283,178,366,540,603,1367,2566,1479,2174,2659,2989,4333,2409,2650,2692,2708,1017,1385,121538831,301,264053,134210,71431,43744,88357,124571,133487,315856,590723,310752,475809,574371,649018,979319,604660,568292,613861,592682,225066,314685,222821189,484096,246052,130958,80197,161988,228381,244727,579069,1082992,569712,872317,1053013,1189866,1795419,1108543,1041869,1125413,1086584,412620,576923,31
Indonesia,Aceh,Aceh Selatan,30,421660,402526,401977,549,0.13019968695157236,1,4063,1083,531,283,178,366,540,603,1367,2566,1478,2171,2655,2980,4324,2407,2637,2681,2699,1011,1381,121443581,302,263979,134191,71406,43715,88328,124556,133458,315803,590661,310620,475511,573993,647989,978443,604367,566989,612692,591699,224400,314267,222646565,483961,246016,130911,80144,161935,228352,244674,578972,1082879,569471,871770,1052321,1187979,1793812,1108007,1039480,1123269,1084781,411399,576157,32
Indonesia,Aceh,Aceh Selatan,50,421660,397510,395755,1755,0.4162121140255182,1,4063,1074,529,280,176,364,537,599,1364,2559,1471,2154,2628,2938,4270,2390,2559,2625,2642,984,1357,120904334,304,262859,133964,70969,43549,88084,124210,133044,315432,589921,309838,473728,571138,643383,972609,602689,559064,606614,585460,221283,311600,221657946,481908,245601,130111,79841,161487,227718,243915,578292,1081522,568037,868501,1047087,1179535,1783117,1104929,1024950,1112126,1073344,405685,571267,33
Indonesia,Aceh,Aceh Selatan,75,421660,384681,383439,1242,0.2945501114642129,1,4063,1027,512,266,167,350,515,576,1325,2488,1413,2065,2462,2616,3903,2290,2261,2397,2375,885,1250,119163032,310,256566,131305,68992,42455,86264,121003,129986,310368,580953,302904,463641,551478,601065,925066,590107,524098,577930,551154,208313,297611,218465559,470371,240727,126485,77835,158151,221839,238308,569009,1065080,555324,850008,1011042,1101952,1695954,1081863,960846,1059539,1010449,381907,545620,34
Indonesia,Aceh,Aceh Singkil,10,191545,165163,150443,14720,7.684878227048474,1,14388,2265,906,2841,3243,3822,4331,3713,7812,9743,5695,3233,5076,2407,2461,1400,1205,1306,3026,1259,2143,37724167,228,528649,221175,672843,774896,910666,1058540,886542,1981424,2408556,1385954,773055,1180859,551799,568931,324351,256735,288918,630427,264362,425533,69160972,969190,405487,1233545,1420643,1669554,1940658,1625326,3632610,4415686,2540916,1417267,2164908,1011632,1043040,594644,470681,529683,1155783,484663,780144,35
Indonesia,Aceh,Aceh Singkil,15,191545,164177,148124,16053,8.380798245843014,1,14388,2263,905,2841,3242,3820,4330,3710,7805,9732,5694,3231,5072,2402,2456,1398,1201,1302,3005,1253,2129,37617598,229,528454,221115,672773,774762,910502,1058399,886211,1980710,2407462,1385829,772880,1180389,551209,568385,324108,256292,288532,628083,263653,424010,68965596,968833,405378,1233418,1420398,1669254,1940398,1624721,3631301,4413680,2540687,1416946,2164046,1010549,1042039,594198,469869,528974,1151485,483363,777351,36
Indonesia,Aceh,Aceh Singkil,20,191545,163428,147293,16135,8.423608029444777,1,14388,2261,904,2840,3240,3819,4329,3707,7801,9728,5693,3229,5067,2398,2452,1395,1198,1300,2991,1248,2118,37534498,230,528165,221017,672669,774573,910313,1058268,885860,1980236,2407094,1385734,772693,1179795,550749,567963,323795,255955,288228,626520,263058,422792,68813247,968303,405197,1233226,1420050,1668907,1940158,1624077,3630433,4413006,2540512,1416604,2162957,1009706,1041265,593625,469251,528418,1148621,482273,775118,37
Indonesia,Aceh,Aceh Singkil,25,191545,162973,145823,17150,8.953509619149546,1,14388,2260,904,2840,3239,3818,4328,3706,7800,9725,5693,3229,5064,2396,2450,1394,1195,1298,2982,1245,2112,37485422,230,528122,221017,672634,774462,910242,1058223,885756,1980078,2406794,1385632,772617,1179520,550534,567709,323704,255602,288071,625597,262752,422174,68723274,968223,405197,1233162,1419848,1668777,1940075,1623887,3630143,4412457,2540325,1416465,2162454,1009312,1040800,593458,468603,528131,1146928,481711,773986,38
